City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Payo,ID,-3.7508,103.6372,71.26,92,53,1.86,broken clouds
305,Jiazi,CN,22.8779,116.067,83.01,79,98,6.11,overcast clouds
306,Guerrero Negro,MX,27.9769,-114.0611,75.7,61,4,18.41,clear sky
307,Baie-Comeau,CA,49.2168,-68.1489,55.08,94,40,5.75,scattered clouds
308,Jilove U Prahy,CZ,49.8955,14.4933,63.81,96,100,2.71,moderate rain
309,Doha,QA,25.2867,51.5333,91.38,56,0,4.61,clear sky
310,Maniwaki,CA,46.3834,-75.966,77.38,50,13,6.91,few clouds
311,Ust-Nera,RU,64.5667,143.2,62.24,43,26,3.71,scattered clouds
312,Aswan,EG,24.0934,32.907,87.01,20,0,9.13,clear sky
313,Lakhimpur,IN,27.95,80.7667,90.9,49,48,9.35,scattered clouds
314,Colon,PA,9.3592,-79.9014,78.37,84,100,3.67,overcast clouds
315,Ugoofaaru,MV,5.6667,73.0,82.89,77,58,19.26,broken clouds
316,Walvis Bay,NA,-22.9575,14.5053,49.15,81,0,0.0,clear sky
317,Iqaluit,CA,63.7506,-68.5145,38.93,93,100,3.44,light rain
318,Donetsk,UA,48.0,37.8,62.1,65,84,4.09,broken clouds
319,Ostrovnoy,RU,68.0531,39.5131,44.22,90,46,6.73,scattered clouds
320,Waipawa,NZ,-41.4122,175.5153,54.3,73,95,5.93,overcast clouds
321,Nhulunbuy,AU,-12.2333,136.7667,81.21,65,40,16.11,scattered clouds
322,Wagga Wagga,AU,-35.1167,147.3667,53.85,100,100,3.44,overcast clouds
323,Ambilobe,MG,-13.2,49.05,65.95,76,28,5.48,scattered clouds
324,Tessalit,ML,20.1986,1.0114,97.52,12,2,4.94,clear sky
325,Kharhial,IN,20.2833,82.7667,79.74,76,100,2.73,overcast clouds
326,Aguas Formosas,BR,-17.0822,-40.9358,66.63,82,24,1.81,few clouds
327,San Rafael,AR,-34.6177,-68.3301,38.16,72,100,12.15,overcast clouds
328,Sept-Iles,CA,50.2001,-66.3821,56.05,95,100,6.91,fog
329,Grindavik,IS,63.8424,-22.4338,46.35,65,20,11.5,few clouds
330,North Bay,CA,46.3168,-79.4663,75.22,53,75,4.61,broken clouds
